endTime,artistName,trackName,msPlayed
2021-12-06 17:45,The Rolling Stones,Beast Of Burden - Remastered 1994,14948
2021-12-06 17:46,Steely Dan,Only A Fool Would Say That,28809
2021-12-06 17:53,Morbo y Mambo,Nigerian,279230
2021-12-06 17:56,Steely Dan,Only A Fool Would Say That,176266
2021-12-06 17:59,CAKE,Thrills,178973
2021-12-06 19:10,Brick,Brick City,29980
2021-12-06 19:10,Shuggie Otis,Inspiration Information,27933
2021-12-06 19:15,The Beach Boys,Here She Comes - Remastered 2000,312800
2021-12-06 19:19,J.J. Cale,Ride Me High,214640
2021-12-06 19:24,Greg Phillinganes,Lazy Nina,326613
2021-12-06 19:27,The Doors,Peace Frog,170132
2021-12-06 19:29,CAKE,Thrills,17230
2021-12-06 19:29,DOPE LEMON,Home Soon,14260
2021-12-06 19:29,The Chakachas,Stories??,88403
2021-12-06 19:29,The Chakachas,Stories??,6370
2021-12-06 19:31,DOPE LEMON,Home Soon,63430
2021-12-06 19:31,The Chakachas,Stories??,770
2021-12-06 19:32,CAKE,Thrills,112710
2021-12-06 19:33,DOPE LEMON,Home Soon,8130
2021-12-06 19:34,Buddy Miles,Them Changes,26820
2021-12-06 19:34,Buddy Miles,Down By The River,81360
2021-12-06 19:36,Curtis Mayfield,Superfly,28680
2021-12-06 19:36,Dizzy Gillespie,Unicorn,92410
2021-12-06 19:45,Shook,Milestones,506453
2021-12-06 19:51,Robert Palmer,Spanish Moon,359160
2021-12-06 19:52,The Police,Bring On The Night,6650
2021-12-06 19:52,King Gizzard & The Lizard Wizard,The River,56196
2021-12-06 19:53,Michael Franks,Monkey See-Monkey Do,65810
2021-12-06 19:53,Booker T. Jones,Everything Is Everything,14760
2021-12-06 19:54,Natural Child,Benny's Here,17090
2021-12-06 19:56,"Medeski, Martin & Wood",Shine It,3290
2021-12-06 19:56,Warren Zevon,Nighttime in the Switching Yard - 2007 Remaster,158110
